cc,bitrate,n_core,power_W
cubic,1,0,31.719963701042722
cubic,1,8,90.3928800311371
cubic,1,16,111.81615911741137
cubic,1,24,114.5670916744899
cubic,2,0,32.65371743697132
cubic,2,8,90.22566927052755
cubic,2,16,110.27726404915664
cubic,2,24,114.70168964627373
cubic,3,0,33.88725223939299
cubic,3,8,90.60668263068706
cubic,3,16,111.30022158847822
cubic,3,24,114.87969709327103
cubic,4,0,33.76761809126857
cubic,4,8,90.88628008339013
cubic,4,16,111.34526989767514
cubic,4,24,115.02133980788034
cubic,5,0,34.23354410422375
cubic,5,8,90.9886240461264
cubic,5,16,111.78431504105875
cubic,5,24,115.22496382238302
cubic,6,0,34.82096343011955
cubic,6,8,91.29181112315511
cubic,6,16,111.71493872188634
cubic,6,24,115.42683890964112
cubic,7,0,35.546627268588495
cubic,7,8,91.6764928038801
cubic,7,16,112.27476151904159
cubic,7,24,115.6103279562235
cubic,8,0,35.85588564926029
cubic,8,8,91.78178779131733
cubic,8,16,112.11590542497582
cubic,8,24,115.76913034090292
cubic,9,0,36.68972089567139
cubic,9,8,92.161443222168
cubic,9,16,112.34605109397157
cubic,9,24,115.88446989710766
cubic,10,0,35.82314646982251
cubic,10,8,92.63771162586876
cubic,10,16,112.35591810991029
cubic,10,24,115.73526229671744
stress,0,0,21.49197500574026
stress,0,8,89.60267137778669
stress,0,16,110.45865439581222
stress,0,24,114.33113582302295
